repo,avgIssueLatency,nLinksOfProject,propOfWithinEcoLinks,propOfCrossEcoLinks
comfy/comfortable-mexican-sofa,70.07893214,140,0.2,0.057142857
Compass/compass-rails,137.5626929,166,0.28313253,0.06626506
composite-primary-keys/composite_primary_keys,91.25879167,142,0.126760563,0.126760563
concerto/concerto,101.9949861,431,0.023201856,0.05800464
connamara/logstash-filter-fix_protocol,4.6238375,34,0.029411765,0
Coursemology/coursemology2,65.99126789,877,0.05359179,0.01368301
cowbell/active_model-errors_details,66.645,5,0.6,0
cowboyd/libv8,104.7168915,138,0.253623188,0.079710145
cowboyd/therubyracer,174.9100236,188,0.319148936,0.058510638
crepe/crepe,28.79615,15,0.2,0
crewmate/crewmate,102.0662059,84,0.011904762,0.011904762
crowbar/barclamp-crowbar,0.0059,249,0.016064257,0.253012048
CS169-Raxa/raxa-visualizations,2.79364,30,0.033333333,0
csdn-dev/second_level_cache,93.19935,2,0.5,0
ctran/annotate_models,219.9309907,135,0.037037037,0.022222222
cucumber/cucumber-rails,149.4155815,103,0.252427184,0.087378641
cucumber/cucumber-ruby,177.1534106,546,0.06959707,0.097069597
CultivateLabs/storytime,14.37281818,34,0.235294118,0.058823529
customink/secondbase,1.8724,6,0.166666667,0
cyclestreets/cyclescape-chef,277.0395556,13,0.076923077,0.230769231
cypress-io/cypress,39.22855714,24,0.083333333,0.375
cypriss/mutations,123.2303,26,0.153846154,0
DamirSvrtan/fasterer,54.552975,10,0.7,0.1
danbartlett/opensit,82.71915625,48,0.083333333,0.020833333
data-axle/elastic_record,2.8593,2,0.5,0
DatabaseCleaner/database_cleaner,237.795195,185,0.097297297,0.221621622
datacite/omniauth-orcid,43.6776,4,0.25,0
DataTables/DataTables,62.0330434,133,0,0.30075188
davidcelis/inflections,2.23016667,7,0.285714286,0
DavyJonesLocker/client_side_validations,95.28786863,149,0.067114094,0.308724832
DavyJonesLocker/ember-appkit-rails,8.14377059,106,0.028301887,0.273584906
dcarral/atom-ruby-test-switcher,125.1363,3,0.333333333,0
d-cent/enquesta,0.0811,1,1,0
ddollar/foreman,181.5793953,241,0.082987552,0.041493776
DefactoSoftware/Hours,46.81496429,88,0.045454545,0
dejan/rails_panel,59.14344,41,0.219512195,0.097560976
delynn/userstamp,7.0721,5,0.2,0
denverfoundation/storybase,180.0457665,417,0.002398082,0.105515588
department-of-veterans-affairs/caseflow-efolder,30.10108621,121,0.016528926,0.049586777
department-of-veterans-affairs/SCIInterim,24.69142764,369,0.002710027,0.005420054
department-of-veterans-affairs/vets-api,18.93045556,100,0.05,0.09
devmynd/jsonb_accessor,292.1913889,20,0,0.1
dgraham/json-stream,0.1168,1,1,0
diaspora/diaspora,158.5686589,3744,0.017094017,0.021634615
diaspora/vines,42.66122222,40,0.125,0
diesel-rs/diesel,13.37827969,236,0.004237288,0.156779661
dimko/normalizr,27.1818,1,1,0
diogob/activerecord-postgres-hstore,72.10318571,27,0.222222222,0.037037037
diogob/carrierwave-postgresql,0.06345,4,0.25,0.25
dkubb/axiom,67.98611667,13,0.230769231,0.230769231
docker/compose,89.65144887,4224,0.088778409,0.113162879
docker/docker,81.49571335,29054,0.005610243,0.099676465
DockYard/ember-easy-form,166.8341969,119,0.025210084,0.445378151
DockYard/party_foul,30.46401,39,0.128205128,0.076923077
DockYard/postgres_ext,35.22541579,49,0.285714286,0.040816327
DockYard/postgres_ext-serializers,262.7231455,33,0.151515152,0.03030303
DockYard/ruby-destroyed_at,74.61946667,29,0.172413793,0
docrails-tw/guides,46.09172222,17,0.294117647,0
documentcloud/cloud-crowd,181.8669,8,0.375,0
documentcloud/documentcloud,148.98744,127,0.078740157,0.039370079
dolzenko/silent-postgres,0.7898,4,0.5,0
DonutWorks/Ari,11.56841212,286,0.003496503,0.01048951
doorkeeper-gem/doorkeeper,75.1177375,536,0.031716418,0.195895522
doubleunion/arooo,229.5560133,37,0.027027027,0.027027027
drapergem/draper,54.93515,356,0.109550562,0.016853933
drewblas/aws-ses,126.17725,10,0.2,0
drhenner/fit,0.39764,7,0.142857143,0
drhenner/ror_ecommerce,67.4458,14,0.428571429,0
dsaronin/milia,0.48025,8,0.125,0
duke-libraries/ddr-public,114.9068444,75,0.026666667,0.04
dwbutler/logstash-logger,102.3369462,59,0.033898305,0.033898305
e2/ruby_dep,4.83965,8,0.5,0
EDMC/api-versions,51.996325,9,0.222222222,0
education/teachers_pet,36.36355714,59,0.033898305,0.152542373
elabs/pundit,62.89355116,184,0.070652174,0
Elgg/Elgg,157.8612926,5869,0.000170387,0.016527517
elight/acts_as_commentable_with_threading,174.2542429,22,0.227272727,0
eliotsykes/rack-zippy,218.0726615,28,0.142857143,0.035714286
eliotsykes/rspec-rails-examples,128.0431231,33,0.212121212,0.03030303
elixir-ecto/postgrex,44.87799524,108,0.037037037,0.25
elixir-lang/plug,41.80057083,116,0.198275862,0.068965517
emberjs/website,83.55997163,665,0.003007519,0.306766917
emilioforrer/haml_coffee_assets,120.1428762,83,0.084337349,0.036144578
enriclluelles/route_translator,139.6767,65,0.076923077,0
epicodus/epicenter,57.3732,20,0.05,0
epnet/beerify,8.06224,18,0.055555556,0.055555556
Eric-Guo/wechat,93.77095294,35,0.057142857,0.142857143
erikhuda/thor,118.2631,146,0.150684932,0.130136986
ernie/polyamorous,51.7339,6,0.333333333,0.666666667
ErwinM/acts_as_tenant,76.7714,37,0.108108108,0.054054054
ets-berkeley-edu/calcentral,134.2931,953,0.004197272,0.008394544
evanphx/benchmark-ips,3.7062,24,0.125,0
eventmachine/eventmachine,481.9909337,335,0.032835821,0.068656716
evrone/quiet_assets,230.6737667,24,0.458333333,0.083333333
exercism/exercism.io,115.512476,1637,0.007330483,0.138668296
expressjs/express,54.64488287,910,0.007692308,0.481318681
fabrik42/acts_as_api,49.853075,16,0.0625,0
faradayio/hangar,0.0033,3,0.333333333,0
fatfreecrm/fat_free_crm,121.5760552,86,0.174418605,0.058139535
faye/faye,46.553822,117,0.094017094,0.196581197
faye/faye-websocket-ruby,29.6731,29,0.310344828,0.103448276
faye/websocket-driver-ruby,13.22963333,14,0.214285714,0.214285714
feedbin/feedbin-api,0.0725,1,1,0
fgrehm/letter_opener_web,128.0963,14,0.214285714,0.214285714
flavorjones/loofah,34.38852,43,0.511627907,0.069767442
flori/json,57.9159125,59,0.305084746,0.118644068
flyerhzm/bullet,54.59712857,61,0.163934426,0.081967213
flynn/flynn,60.88341639,1985,0.012594458,0.02115869
fnando/i18n-js,174.8772932,204,0.088235294,0.014705882
FooBarWidget/default_value_for,87.01257143,19,0.105263158,0
foodcoops/foodsoft,289.9017381,160,0.05,0.05
FortAwesome/font-awesome-sass,17.24175,40,0.15,0.025
fphilipe/premailer-rails,147.9602737,65,0.153846154,0.138461538
FreeRADIUS/freeradius-server,28.92525566,1114,0.000897666,0.00448833
freerange/mocha,55.13232917,169,0.189349112,0.01183432
FriendsOfSymfony/FOSRestBundle,125.9141873,896,0.0703125,0.058035714
fs/rails-base,77.01123462,160,0.10625,0.0625
fs/static-base,16.00853333,21,0.238095238,0.238095238
FundingCircle/shipment_tracker,1.0107,38,0.131578947,0
fw42/cubecomp,82.87446667,106,0.009433962,0
fxn/rails-contributors,0.0873,11,0.909090909,0
G5/storext,67.1579,9,0.444444444,0
galetahub/ckeditor,186.8251356,155,0.096774194,0.051612903
geddy/geddy,60.88791404,184,0.005434783,0.423913043
geekq/workflow,259.58597,61,0.049180328,0.032786885
gems-uff/sapos,90.65575152,63,0.111111111,0.015873016
getsentry/raven-ruby,136.5850595,292,0.061643836,0.058219178
GetStream/stream-rails,329.13544,11,0.090909091,0.090909091
gettalong/kramdown,102.9007535,105,0.057142857,0.142857143
gilest/mailer_fragment_caching,0.6985,2,0.5,0
gina-alaska/sandy-rails,16.434,18,0.055555556,0
ging/social_stream,29.80267778,54,0.074074074,0.222222222
github/choosealicense.com,152.9030238,418,0.002392344,0.083732057
github/markup,259.815864,295,0.088135593,0.183050847
gitlabhq/gitlab-ci,187.3933767,142,0.11971831,0.042253521
gitlabhq/gitlabhq,93.10983138,4049,0.025932329,0.044702396
glaszig/soundmanager-rails,14.46355,4,0.5,0.25
glebm/i18n-tasks,87.85958529,60,0.166666667,0.066666667
glejeune/Ruby-Graphviz,30.9851,20,0.15,0
glittergallery/GlitterGallery,109.7149922,220,0.004545455,0.013636364
globalize/globalize,173.2134804,270,0.111111111,0.033333333
gocardless/statesman,62.85255185,97,0.113402062,0.010309278
gocd/gocd,180.1924671,1289,0.006982157,0.046547711
godaddy/activerecord-delay_touching,33.9502,5,0.2,0
gonzalo-bulnes/simple_token_authentication,78.29065341,368,0.035326087,0.010869565
google/google-api-ruby-client,135.3297556,94,0.14893617,0.159574468
gottfrois/dashing-rails,47.2257125,25,0.12,0.08
Graylog2/gelf-rb,391.91895,20,0.1,0.1
gregawoods/spud_photos,0.2152,4,0.5,0.25
grosser/parallel_tests,119.5243065,128,0.171875,0.0546875
grosser/test_after_commit,4.1623,6,0.5,0
gsamokovarov/web-console,388.3238,3,1,0
guard/guard-minitest,114.94944,62,0.129032258,0.241935484
guard/listen,65.41466897,301,0.176079734,0.179401993
hacken-in/website,146.1271838,268,0.070895522,0.044776119
halogenandtoast/monban,11.70173333,11,0.272727273,0
haml/haml,154.55257,205,0.229268293,0.063414634
hanami/hanami,54.72513814,490,0.073469388,0.220408163
hanami/model,66.38601389,231,0.047619048,0.147186147
hanami/router,29.4648,57,0.122807018,0.298245614
hashrocket/decent_exposure,97.77687778,42,0.095238095,0.071428571
headius/jruby-pg,98.42541667,8,0.125,0.25
headius/ruby-atomic,29.34546667,17,0.058823529,0
headius/thread_safe,112.70406,37,0.513513514,0.054054054
heartrails/rails4-example,1.63262,10,0.3,0
heavenstudio/pag_seguro,59.6967,1,1,0
Helabs/pah,30.43642976,280,0.085714286,0.046428571
helios-technologies/skeleton-rails,445.6092,4,0.25,0
helmetjs/hsts,80.62626,16,0.0625,0.1875
helpyio/helpy,21.567308,156,0.08974359,0
heroku/databasedotcom,94.39358889,56,0.035714286,0.035714286
heroku/heroku-buildpack-ruby,215.6903444,203,0.285714286,0.078817734
heroku/rack-timeout,180.742913,105,0.095238095,0.047619048
heroku/rails_12factor,32.37475,15,0.333333333,0.266666667
heroku/rails_stdout_logging,33.145775,29,0.482758621,0.034482759
hi-ogawa/wordCollector,21.0304,6,0.166666667,0
Hobo/hobo,88.22720833,22,0.090909091,0.227272727
HollowEarthRadio/lpfm-website,0.0121,5,0.2,0
honeybadger-io/honeybadger-ruby,52.66504545,33,0.242424242,0
hooopo/second_level_cache,254.38982,7,0.142857143,0
houndci/hound,69.31493854,590,0.088135593,0.379661017
huacnlee/rails-settings-cached,53.57407143,25,0.12,0
huerlisi/bookyt,155.137025,17,0.058823529,0.117647059
hummingbird-me/hummingbird,56.1653125,144,0.034722222,0.006944444
huydx/facy,4.357075,4,0.25,0.25
hwproj/hwproj,19.69783333,12,0.083333333,0.083333333
hyperoslo/mingle,83.73017143,16,0.25,0
hyperoslo/singleton-rails,117.2737,3,0.333333333,0
hzamani/acts_as_relation,174.07905,12,0.416666667,0
ibmdb/ruby-ibmdb,137.4766286,21,0.095238095,0
ifad/chronomodel,78.37756667,8,0.125,0
IFTTT/polo,8.89304,31,0.064516129,0.032258065
igrigorik/em-synchrony,133.6204556,64,0.1875,0.0625
IIC2233-2016-1/syllabus,3.1753938,172,0.005813953,0.011627907
iiirc/iiirc,57.61619231,54,0.055555556,0.055555556
indirect/haml-rails,36.71845,29,0.344827586,0
influitive/apartment,50.97878,123,0.146341463,0.032520325
influxdata/influxdb-rails,104.67955,15,0.4,0
influxdata/influxdb-ruby,36.98976429,58,0.120689655,0.120689655
Ink/filepicker-rails,75.15504,52,0.038461538,0.038461538
innoq/iqvoc,119.1617485,74,0.094594595,0.027027027
inossidabile/protector,0.0161,17,0.176470588,0.058823529
instructure/canvas-lms,279.1281232,146,0.04109589,0.075342466
integrallis/stripe_event,16.21623333,41,0.097560976,0
intercom/intercom-rails,112.74087,75,0.04,0.013333333
intridea/multi_json,54.64334,84,0.404761905,0.083333333
intridea/oauth2,69.54605,53,0.094339623,0.094339623
isaacs/github,167.743081,448,0.060267857,0.185267857
ivaldi/brimir,13.76751538,38,0.157894737,0.052631579
ixti/redmine_tags,172.99529,59,0.050847458,0.118644068
iZettle/api-model,11.3429,1,1,0
jackc/edge,253.8387,4,0.5,0
jackc/tod,156.9253667,9,0.222222222,0.111111111
JackDanger/permanent_records,33.36445,23,0.086956522,0.043478261
jalkoby/squasher,0.81225,6,0.166666667,0
JangoSteve/remotipart,169.89332,70,0.114285714,0.014285714
janlelis/irbtools,136.2303,6,0.333333333,0.5
jashkenas/backbone,27.1018994,2184,0.023809524,0.113095238
jashkenas/underscore,25.38067386,1336,0.035928144,0.112275449
jashmenn/activeuuid,115.9762,26,0.076923077,0
jasmine/jasmine-gem,122.9804737,64,0.109375,0.375
JasonBarnabe/greasyfork,55.18200106,151,0.046357616,0.317880795
jasonlong/geo_pattern,8.19786667,21,0.047619048,0
jbox-web/redmine_git_hosting,42.60432917,206,0.038834951,0.077669903
jch/html-pipeline,60.42692,150,0.166666667,0.113333333
jdickey/new_poc,20.82633243,599,0.026711185,0.030050083
jejacks0n/teaspoon,60.44108889,312,0.112179487,0.086538462
jekyll/jekyll-assets,92.31831628,100,0.03,0.19
jekyll/jekyll-import,189.9565655,114,0.026315789,0.228070175
jenseng/hair_trigger,3.76576667,8,0.25,0
jeremyevans/sequel,0.60316,83,0.168674699,0.084337349
jfirebaugh/konacha,35.55498421,107,0.158878505,0.242990654
jimweirich/builder,147.45412,14,0.5,0.142857143
jimweirich/rake,107.3000348,61,0.213114754,0
jipiboily/monologue,82.14377692,70,0.128571429,0.085714286
jjbohn/omniauth-openid-connect,97.09212,27,0.148148148,0.074074074
jlindsey/semantic,308.2595667,5,0.2,0
jmazzi/crypt_keeper,86.24212778,52,0.096153846,0.038461538
jmettraux/rufus-scheduler,7.53473333,44,0.136363636,0.022727273
jneen/rouge,123.9824406,196,0.076530612,0.045918367
jnicklas/capybara,105.7158969,509,0.143418468,0.05697446
jnunemaker/flipper,80.76775294,75,0.066666667,0.013333333
jnunemaker/httparty,259.94494,132,0.053030303,0.060606061
johnotander/deckorator,15.7161,13,0.076923077,0
joliss/jquery-ui-rails,118.0860727,40,0.325,0.075
jondot/sneakers,259.6787316,85,0.023529412,0.082352941
jonleighton/focused_controller,84.5479,5,0.4,0.2
jonleighton/spring-watcher-listen,62.58175,12,0.75,0.083333333
jordansissel/fpm,169.7446918,448,0.015625,0.053571429
jorgemanrubia/mailgun_rails,48.84903333,26,0.153846154,0.038461538
josevalim/inherited_resources,146.0054143,104,0.336538462,0
josevalim/rails-footnotes,222.2913,26,0.192307692,0.038461538
joshsoftware/code-curiosity,46.81106667,52,0.076923077,0.153846154
jpdesigndev/spree_asset_variant_options,1.183,2,0.5,0
jquery/jquery,55.22572976,1870,0.006951872,0.14171123
jruby/activerecord-jdbc-adapter,103.4368337,277,0.187725632,0.028880866
